ent,sex,eda,nac_mes,nac_anio,cs_p12,cs_p13_1,cs_p13_2,cs_p15,cs_p16,n_hij,e_con,zona,salario,clase2,rama,c_ocu11c,dur9c,rama_est2,dur_est,d_ant_lab,d_cexp_est,niv_ins,anios_esc,hrsocup,ingocup,ing_x_hrs,imssissste,scian,t_tra,emp_ppal,sec_ins,,
19,2,39,9,1984,1,6,2,2,1,2,5,2,7468,1,3,6,3,5,3,0,0,3,11,21,5160,57.14286,4,7,1,1,8,,
19,2,59,6,1965,1,7,4,3,1,2,3,2,7468,1,4,4,6,11,4,0,0,4,16,40,0,0,3,20,1,2,5,,
19,2,44,5,1979,1,7,5,3,1,0,5,2,7468,1,4,1,6,8,4,0,0,4,17,40,20000,116.27907,1,10,1,2,1,,
19,2,33,6,1990,1,7,5,3,1,0,6,2,7468,1,4,1,3,8,3,0,0,4,17,24,13000,125.96899,1,10,1,2,1,,
19,2,51,10,1972,1,7,5,3,1,1,5,2,7468,1,4,1,6,9,4,0,0,4,17,40,12000,69.76744,4,16,1,1,8,,
19,2,37,2,1987,1,7,4,3,1,2,5,2,7468,2,0,0,0,0,0,1,2,4,16,0,0,0,0,0,1,0,0,,
19,2,34,8,1989,1,6,3,2,1,0,6,2,7468,1,4,1,6,8,4,0,0,3,12,48,12000,58.13953,4,12,1,1,4,,
19,2,37,10,1986,1,7,4,3,1,0,6,2,7468,1,4,4,6,8,4,0,0,4,16,45,0,0,1,12,1,2,2,,
19,2,56,6,1967,1,7,4,3,1,0,6,2,7468,1,3,1,6,5,4,0,0,4,16,40,0,0,1,6,1,2,2,,
19,2,51,5,1973,1,7,4,3,1,2,5,2,7468,1,4,1,6,9,4,0,0,4,16,45,6000,31.00775,1,16,1,2,4,,
19,2,28,10,1995,1,7,4,3,1,0,6,2,7468,1,4,2,4,9,3,0,0,4,16,30,15000,116.27907,1,15,1,2,6,,
